PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
9.23529E+14,59263,2022,2022,NA,1.27974E+15,62.10196,-160.2502,95,59263AB,PIMA,11.18,NA,NA
9.23529E+14,59263,2022,2022,NA,1.27974E+15,62.10196,-160.2502,95,59263AC,PIMA,11.43,NA,NA
6.83089E+14,55579,2022,2020,NA,NA,61.98115,-155.527,95,55579AA,PIMA,7.11,NA,NA
6.83089E+14,48992,2022,2020,NA,NA,61.61547,-159.0582,94,48992AB,PIGL,21.84,NA,NA
6.83089E+14,48992,2022,2020,NA,1.27969E+15,61.61547,-159.0582,94,48992AC,PIGL,25.65,NA,NA
9.23529E+14,21837,2022,2022,NA,1.27974E+15,62.00298,-158.7551,95,21837AA,PIMA,10.41,NA,NA
9.23529E+14,21837,2022,2022,NA,1.27974E+15,62.00298,-158.7551,95,21837AB,PIMA,8.38,NA,NA
9.23529E+14,21837,2022,2022,NA,1.27974E+15,62.00298,-158.7551,95,21837AC,PIMA,9.4,NA,NA
9.23529E+14,24239,2022,2022,NA,1.27974E+15,61.93385,-158.8686,95,24239AA,PIMA,9.91,NA,NA
9.23529E+14,24239,2022,2022,NA,1.27974E+15,61.93385,-158.8686,95,24239AB,PIMA,8.64,NA,NA
9.23529E+14,24239,2022,2022,NA,1.27974E+15,61.93385,-158.8686,95,24239AC,PIMA,9.14,NA,NA
6.83089E+14,52724,2022,2020,NA,1.27969E+15,61.87843,-157.7893,95,52724AA,PIMA,10.16,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
6.83089E+14,52724,2022,2020,NA,1.27969E+15,61.87843,-157.7893,95,52724AB,PIMA,21.59,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
6.83089E+14,52724,2022,2020,NA,1.27969E+15,61.87843,-157.7893,94,52724AC,PIGL,10.16,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
6.83089E+14,52724,2022,2020,NA,1.27969E+15,61.87843,-157.7893,94,52724AD,PIGL,21.59,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
6.83089E+14,47818,2022,2020,NA,1.27969E+15,61.41274,-156.3156,95,47818AA,PIMA,11.68,NA,NA
6.83089E+14,47818,2022,2020,NA,1.27969E+15,61.41274,-156.3156,95,47818AB,PIMA,12.45,NA,NA
6.83089E+14,47818,2022,2020,NA,1.27969E+15,61.41274,-156.3156,95,47818AC,PIMA,14.48,NA,NA
6.83089E+14,11576,2022,2020,NA,NA,61.43994,-156.5099,95,11576AA,PIMA,10.16,NA,NA
6.83089E+14,11576,2022,2020,NA,NA,61.43994,-156.5099,95,11576AB,PIMA,10.67,NA,NA
6.83089E+14,11576,2022,2020,NA,NA,61.43994,-156.5099,95,11576AC,PIMA,8.38,NA,NA
6.83089E+14,26013,2022,2020,NA,1.2797E+15,61.41348,-160.1889,94,26013AA,PIGL,25.65,NA,NA
6.83089E+14,26013,2022,2020,NA,1.2797E+15,61.41348,-160.1889,94,26013AB,PIGL,25.15,NA,NA
6.83089E+14,26013,2022,2020,NA,NA,61.41348,-160.1889,94,26013AC,PIGL,11.94,NA,REJECTED SITE TREE
6.83089E+14,18602,2022,2020,NA,NA,62.04473,-157.1727,95,18602AA,PIMA,14.99,NA,NA
6.83089E+14,18602,2022,2020,NA,NA,62.04473,-157.1727,95,18602AB,PIMA,14.48,NA,NA
6.83089E+14,18602,2022,2020,NA,NA,62.04473,-157.1727,95,18602AC,PIMA,13.97,NA,NA
9.23529E+14,32336,2022,2022,NA,NA,62.30814,-159.099,95,32336AA,PIMA,4.83,NA,NA
9.23529E+14,32336,2022,2022,NA,NA,62.30814,-159.099,95,32336AB,PIMA,7.87,NA,NA
9.23529E+14,32336,2022,2022,NA,NA,62.30814,-159.099,71,32336AC,LALA,7.11,NA,NA
9.23529E+14,24867,2022,2022,NA,NA,61.97488,-158.5556,95,24867AA,PIMA,10.41,NA,NA
