PLT_CN,PLOT_FIADB,MEASYEAR,TREE_CN,STREE_CN,SPCD,series,species,DBH_field,DIA,d2pith_mm,notes_lab
683089228126144,30077,2022,NA,1279696802290487,94,30077AD,PIGL,5.8,5.8,NA,
683089228126144,30077,2022,NA,1279696800290487,94,30077AE,PIGL,15.4,15.4,NA,
683089232126144,48604,2022,NA,1279697090290487,95,48604AA,PIMA,4.3,4.3,NA,
683089232126144,48604,2022,NA,1279697088290487,95,48604AB,PIMA,3.4,3.4,NA,
683089232126144,48604,2022,NA,1279697089290487,95,48604AC,PIMA,5,5,NA,
923529324290487,42722,2022,NA,1279737343290487,95,42722AC,PIMA,5.2,5.2,NA,
923529324290487,42722,2022,NA,1279737344290487,95,42722AD,PIMA,1.9,1.9,NA,
923529324290487,42722,2022,NA,1279737342290487,95,42722AE,PIMA,3.8,3.8,NA,
923529324290487,42722,2022,NA,NA,95,42722AF,PIMA,5.8,NA,NA,
923529324290487,42722,2022,NA,1279737341290487,95,42722AG,PIMA,4.9,4.9,NA,
683089240126144,43840,2022,NA,1279697294290487,95,43840AA,PIMA,4.2,4.2,NA,
683089240126144,43840,2022,NA,1279697296290487,95,43840AB,PIMA,4.1,4.1,NA,
683089240126144,43840,2022,NA,1279697295290487,95,43840AC,PIMA,4.9,4.9,NA,
683089241126144,2224,2022,NA,NA,95,02224AB,PIMA,5.7,NA,NA,
683089241126144,2224,2022,NA,NA,95,02224AC,PIMA,7.9,NA,NA,
683089249126144,11899,2022,NA,1279697811290487,95,11899AA,PIMA,4,4,NA,
683089249126144,11899,2022,NA,1279697812290487,95,11899AB,PIMA,4.2,4.2,NA,
683089249126144,11899,2022,NA,1279697810290487,95,11899AC,PIMA,4.5,4.5,NA,
683089250126144,267,2022,NA,1279698068290487,95,00267AA,PIMA,3.6,3.6,NA,
683089250126144,267,2022,NA,1279698069290487,95,00267AB,PIMA,4.9,4.9,NA,
683089250126144,267,2022,NA,1279698070290487,95,00267AC,PIMA,3,3,NA,
683089272126144,11161,2022,NA,1279698532290487,376,11161AC,BENE,6.4,6.4,NA,
683089272126144,11161,2022,NA,1279698534290487,94,11161AD,PIGL,8.9,8.9,NA,
683089272126144,11161,2022,NA,1279698531290487,94,11161AE,PIGL,12.4,12.4,NA,
683089272126144,11161,2022,NA,1279698533290487,94,11161AF,PIGL,8.7,8.7,NA,
683089275126144,19581,2022,NA,1279698708290487,95,19581AA,PIMA,3.7,3.7,NA,
683089275126144,19581,2022,NA,1279698709290487,95,19581AB,PIMA,4.3,4.3,NA,
683089275126144,19581,2022,NA,1279698710290487,94,19581AC,PIGL,6.3,6.3,NA,
683089275126144,19581,2022,NA,1279698712290487,94,19581AD,PIGL,8.6,8.6,NA,
683089275126144,19581,2022,NA,NA,94,19581AE,PIGL,4.6,NA,NA,
683089275126144,19581,2022,NA,NA,94,19581AF,PIGL,4.6,NA,NA,
683089275126144,19581,2022,NA,NA,94,19581AG,PIGL,4.1,NA,NA,
683089278126144,841,2022,NA,1279698923290487,376,00841AB,BENE,10.6,10.6,NA,
683089278126144,841,2022,NA,1279698923290487,94,00841AC,PIGL,10.6,10.6,NA,
